date,lat,lon,site,Nitrates
2016-04-12 10:16:00,44.71760227,-122.2448237,Log Bloom,0.002
2016-04-12 10:58:00,44.69537557,-122.2412653,Heater,0.002
2016-04-26 11:11:00,44.71760227,-122.2448237,Log Bloom,-0.003
2016-04-26 12:02:00,44.69537557,-122.2412653,Heater,-0.003
2016-05-03 11:23:00,44.71760227,-122.2448237,Log Bloom,-0.001
2016-05-03 12:10:00,44.69537557,-122.2412653,Heater,0.003
2016-05-09 11:10:00,44.71760227,-122.2448237,Log Bloom,0.001
2016-05-09 12:10:00,44.69537557,-122.2412653,Heater,0.001
2016-05-17 11:04:00,44.71760227,-122.2448237,Log Bloom,0.001
2016-05-17 11:54:00,44.69537557,-122.2412653,Heater,0.001
2016-05-17 12:32:00,44.67544396,-122.1887626,Blowout,0.0
2016-05-24 09:40:00,44.71760227,-122.2448237,Log Bloom,-0.001
2016-05-24 10:20:00,44.69537557,-122.2412653,Heater,-0.003
2016-05-31 11:52:00,44.71760227,-122.2448237,Log Bloom,0.003
2016-05-31 12:32:00,44.69537557,-122.2412653,Heater,0.001
2016-06-07 11:22:00,44.71760227,-122.2448237,Log Bloom,0.004
2016-06-07 12:15:00,44.69537557,-122.2412653,Heater,0.004
2016-06-07 12:23:00,44.69537557,-122.2412653,Heater,0.004
2016-06-14 10:17:00,44.71760227,-122.2448237,Log Bloom,-0.005
2016-06-14 10:51:00,44.69537557,-122.2412653,Heater,-0.005
2016-06-21 13:04:00,44.71760227,-122.2448237,Log Bloom,0.004
2016-06-21 13:47:00,44.69537557,-122.2412653,Heater,0.008
2016-06-28 12:57:00,44.71760227,-122.2448237,Log Bloom,0.003
2016-06-28 13:40:00,44.69537557,-122.2412653,Heater,0.003
2016-07-05 11:49:00,44.71760227,-122.2448237,Log Bloom,-0.001
2016-07-05 12:24:00,44.69537557,-122.2412653,Heater,0.006
2016-07-12 11:01:00,44.71760227,-122.2448237,Log Bloom,0.006
2016-07-12 11:55:00,44.69537557,-122.2412653,Heater,0.007
2016-07-18 13:10:00,44.69537557,-122.2412653,Heater,0.009
2016-07-26 11:41:00,44.69537557,-122.2412653,Heater,0.016
2016-08-02 12:23:00,44.69537557,-122.2412653,Heater,0.008
2016-08-09 00:00:00,44.69537557,-122.2412653,Heater,0.003
2016-08-17 11:18:00,44.69537557,-122.2412653,Heater,0.005
2016-08-23 12:07:00,44.69537557,-122.2412653,Heater,0.003
2016-08-23 12:13:00,44.69537557,-122.2412653,Heater,0.004
2016-08-29 12:31:00,44.69537557,-122.2412653,Heater,0.001
2016-09-06 11:18:00,44.69537557,-122.2412653,Heater,-0.002
2016-09-13 11:37:00,44.69537557,-122.2412653,Heater,0.003
2016-09-20 12:21:00,44.69537557,-122.2412653,Heater,0.006
2016-09-27 11:11:00,44.69537557,-122.2412653,Heater,0.0
2017-04-25 11:50:00,44.69537557,-122.2412653,Heater,0.006
2017-04-25 12:31:00,44.67544396,-122.1887626,Blowout,0.005
2017-05-09 12:29:00,44.71760227,-122.2448237,Log Bloom,-0.001
2017-05-09 12:50:00,44.69537557,-122.2412653,Heater,-0.001
2017-05-24 13:07:00,44.71760227,-122.2448237,Log Bloom,0.001
2017-05-24 13:55:00,44.69537557,-122.2412653,Heater,0.002
2017-05-31 11:30:00,44.71760227,-122.2448237,Log Bloom,0.006
2017-05-31 12:07:00,44.69537557,-122.2412653,Heater,0.004
2017-06-05 12:00:00,44.69537557,-122.2412653,Heater,0.018
2017-06-05 12:38:00,44.67544396,-122.1887626,Blowout,0.005
2017-06-12 11:55:00,44.69537557,-122.2412653,Heater,0.016
2017-06-12 12:25:00,44.67544396,-122.1887626,Blowout,0.01
2017-06-20 11:05:00,44.71760227,-122.2448237,Log Bloom,0.002
2017-06-20 11:45:00,44.69537557,-122.2412653,Heater,0.006
2017-06-20 12:25:00,44.67544396,-122.1887626,Blowout,0.002
2017-06-27 10:55:00,44.71760227,-122.2448237,Log Bloom,0.005
2017-06-27 11:45:00,44.69537557,-122.2412653,Heater,0.003
2017-06-27 12:30:00,44.67544396,-122.1887626,Blowout,0.002
2017-07-05 11:40:00,44.69537557,-122.2412653,Heater,0.002
2017-07-05 12:05:00,44.67544396,-122.1887626,Blowout,0.003
2017-07-11 11:20:00,44.71760227,-122.2448237,Log Bloom,0.003
2017-07-11 11:50:00,44.69537557,-122.2412653,Heater,0.008
2017-07-11 12:30:00,44.67544396,-122.1887626,Blowout,0.002
2017-07-18 11:50:00,44.67544396,-122.1887626,Blowout,0.006
2017-07-18 12:35:00,44.71760227,-122.2448237,Log Bloom,0.006
2017-07-18 13:15:00,44.69537557,-122.2412653,Heater,0.009
2017-07-25 11:20:00,44.71760227,-122.2448237,Log Bloom,0.004
2017-07-25 11:50:00,44.69537557,-122.2412653,Heater,0.003
2017-07-25 12:25:00,44.67544396,-122.1887626,Blowout,0.002
2017-08-01 08:45:00,44.67544396,-122.1887626,Blowout,-0.001
2017-08-01 09:20:00,44.69537557,-122.2412653,Heater,0.003
2017-08-01 09:50:00,44.71760227,-122.2448237,Log Bloom,0.003
2017-08-08 11:08:00,44.71760227,-122.2448237,Log Bloom,0.006
2017-08-08 11:40:00,44.69537557,-122.2412653,Heater,0.0
2017-08-08 12:11:00,44.67544396,-122.1887626,Blowout,0.002
2017-08-15 10:50:00,44.71760227,-122.2448237,Log Bloom,0.003
2017-09-12 11:30:00,44.71760227,-122.2448237,Log Bloom,0.001
2017-09-12 11:55:00,44.69537557,-122.2412653,Heater,0.002
2017-09-12 12:25:00,44.67544396,-122.1887626,Blowout,0.004
2018-04-24 10:40:00,44.71760227,-122.2448237,Log Bloom,0.007
2018-04-24 10:40:00,44.71760227,-122.2448237,Log Bloom,0.007
2018-04-24 11:30:00,44.69537557,-122.2412653,Heater,0.006
2018-04-24 11:30:00,44.69537557,-122.2412653,Heater,0.006
2018-05-08 10:40:00,44.71760227,-122.2448237,Log Bloom,0.005
2018-05-08 11:20:00,44.69537557,-122.2412653,Heater,0.005
2018-05-08 11:50:00,44.67544396,-122.1887626,Blowout,0.014
2018-05-14 10:35:00,44.71760227,-122.2448237,Log Bloom,0.007
2018-05-14 11:00:00,44.69537557,-122.2412653,Heater,0.007
2018-05-14 11:30:00,44.67544396,-122.1887626,Blowout,0.008
2018-05-21 10:10:00,44.71760227,-122.2448237,Log Bloom,0.01
2018-05-21 10:40:00,44.69537557,-122.2412653,Heater,0.01
2018-05-21 11:00:00,44.67544396,-122.1887626,Blowout,0.033
2018-06-27 11:00:00,44.71760227,-122.2448237,Log Bloom,0.0
2018-06-27 11:18:00,44.69537557,-122.2412653,Heater,0.004
2018-06-27 11:40:00,44.67544396,-122.1887626,Blowout,0.001
2018-07-11 09:55:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-07-11 10:25:00,44.69537557,-122.2412653,Heater,0.003
2018-07-11 10:40:00,44.67544396,-122.1887626,Blowout,0.002
2018-07-18 10:05:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-07-18 10:30:00,44.69537557,-122.2412653,Heater,0.003
2018-07-18 10:45:00,44.67544396,-122.1887626,Blowout,0.005
2018-07-24 09:55:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-07-24 10:45:00,44.69537557,-122.2412653,Heater,0.004
2018-07-24 11:40:00,44.67544396,-122.1887626,Blowout,0.002
2018-07-31 10:45:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-07-31 11:15:00,44.69537557,-122.2412653,Heater,0.003
2018-07-31 11:40:00,44.67544396,-122.1887626,Blowout,0.003
2018-08-07 10:05:00,44.71760227,-122.2448237,Log Bloom,0.001
2018-08-07 10:30:00,44.69537557,-122.2412653,Heater,0.002
2018-08-07 10:50:00,44.67544396,-122.1887626,Blowout,0.001
2018-08-14 11:00:00,44.71760227,-122.2448237,Log Bloom,0.007
2018-08-14 11:30:00,44.69537557,-122.2412653,Heater,0.008
2018-08-14 12:00:00,44.67544396,-122.1887626,Blowout,0.009
2018-08-21 10:55:00,44.69537557,-122.2412653,Heater,0.004
2018-08-21 11:20:00,44.67544396,-122.1887626,Blowout,0.004
2018-08-29 11:05:00,44.69537557,-122.2412653,Heater,0.002
2018-08-29 11:30:00,44.67544396,-122.1887626,Blowout,0.002
2018-09-11 11:45:00,44.69537557,-122.2412653,Heater,0.005
2018-09-11 12:05:00,44.67544396,-122.1887626,Blowout,0.003
2018-09-26 11:45:00,44.69537557,-122.2412653,Heater,0.008
2018-09-26 12:05:00,44.67544396,-122.1887626,Blowout,0.006
2018-10-02 10:50:00,44.69537557,-122.2412653,Heater,0.003
2018-10-02 11:05:00,44.67544396,-122.1887626,Blowout,0.001
2019-03-05 11:35:00,44.69537557,-122.2412653,Heater,0.018
2019-03-05 12:00:00,44.67544396,-122.1887626,Blowout,0.011
2019-04-09 11:05:00,44.71760227,-122.2448237,Log Bloom,0.004
2019-04-09 11:45:00,44.69537557,-122.2412653,Heater,0.005
2019-04-09 12:15:00,44.67544396,-122.1887626,Blowout,0.018
