date,lat,lon,site,Toxin
2018-07-11 10:25:00,44.69537557,-122.2412653,Heater,3.614
2018-07-11 10:40:00,44.67544396,-122.1887626,Blowout,2.628
2018-07-11 10:40:00,44.67544396,-122.1887626,Blowout,1.805
2018-07-13 10:30:00,44.71760227,-122.2448237,Log Bloom,3.057
2018-07-13 10:30:00,44.71760227,-122.2448237,Log Bloom,3.057
2018-07-13 11:00:00,44.69537557,-122.2412653,Heater,1.023
2018-07-13 11:20:00,44.67544396,-122.1887626,Blowout,2.561
2018-07-16 09:50:00,44.71760227,-122.2448237,Log Bloom,5.0
2018-07-16 10:15:00,44.69537557,-122.2412653,Heater,5.0
2018-07-16 10:35:00,44.67544396,-122.1887626,Blowout,1.386
2018-07-18 10:05:00,44.71760227,-122.2448237,Log Bloom,5.0
2018-07-18 10:30:00,44.69537557,-122.2412653,Heater,5.0
2018-07-18 10:45:00,44.67544396,-122.1887626,Blowout,1.499
2018-07-24 09:55:00,44.71760227,-122.2448237,Log Bloom,5.0
2018-07-24 10:45:00,44.69537557,-122.2412653,Heater,1.991
2018-07-24 11:40:00,44.67544396,-122.1887626,Blowout,1.875
2018-07-26 09:55:00,44.71760227,-122.2448237,Log Bloom,1.071
2018-07-26 10:25:00,44.69537557,-122.2412653,Heater,2.028
2018-07-26 10:45:00,44.67544396,-122.1887626,Blowout,0.709
2018-07-31 10:45:00,44.71760227,-122.2448237,Log Bloom,5.0
2018-07-31 11:15:00,44.69537557,-122.2412653,Heater,0.822
2018-07-31 11:40:00,44.67544396,-122.1887626,Blowout,0.662
2018-08-02 09:40:00,44.67544396,-122.1887626,Blowout,0.153
2018-08-02 10:20:00,44.69537557,-122.2412653,Heater,0.163
2018-08-02 11:00:00,44.71760227,-122.2448237,Log Bloom,0.292
2018-08-07 10:05:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-08-07 10:30:00,44.69537557,-122.2412653,Heater,0.233
2018-08-07 10:50:00,44.67544396,-122.1887626,Blowout,0.196
2018-08-09 00:00:00,44.71760227,-122.2448237,Log Bloom,0.167
2018-08-09 10:00:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-08-09 10:25:00,44.69537557,-122.2412653,Heater,0.082
2018-08-09 10:50:00,44.67544396,-122.1887626,Blowout,0.074
2018-08-14 11:00:00,44.71760227,-122.2448237,Log Bloom,0.152
2018-08-14 11:30:00,44.69537557,-122.2412653,Heater,0.053
2018-08-14 12:00:00,44.67544396,-122.1887626,Blowout,0.063
2018-08-16 10:45:00,44.71760227,-122.2448237,Log Bloom,0.101
2018-08-16 11:15:00,44.69537557,-122.2412653,Heater,0.078
2018-08-16 11:35:00,44.67544396,-122.1887626,Blowout,0.106
2018-08-21 10:55:00,44.69537557,-122.2412653,Heater,0.072
2018-08-21 11:20:00,44.67544396,-122.1887626,Blowout,0.12
2018-08-29 11:05:00,44.69537557,-122.2412653,Heater,0.072
2018-08-29 11:30:00,44.67544396,-122.1887626,Blowout,0.028
2018-09-11 11:45:00,44.69537557,-122.2412653,Heater,0.161
2018-09-11 12:05:00,44.67544396,-122.1887626,Blowout,0.092
2018-09-26 11:45:00,44.69537557,-122.2412653,Heater,0.074
2018-09-26 12:05:00,44.67544396,-122.1887626,Blowout,0.091
2018-10-02 10:50:00,44.69537557,-122.2412653,Heater,0.074
2018-10-02 11:05:00,44.67544396,-122.1887626,Blowout,0.05
2019-03-05 11:35:00,44.69537557,-122.2412653,Heater,0.0
2019-03-05 12:00:00,44.67544396,-122.1887626,Blowout,0.0
2019-04-09 11:05:00,44.71760227,-122.2448237,Log Bloom,0.0
2019-04-09 11:45:00,44.69537557,-122.2412653,Heater,0.003
2019-04-09 12:15:00,44.67544396,-122.1887626,Blowout,0.025
2019-04-17 10:10:00,44.71760227,-122.2448237,Log Bloom,0.045
2019-04-17 10:45:00,44.69537557,-122.2412653,Heater,0.014
2019-04-17 11:10:00,44.67544396,-122.1887626,Blowout,0.009
2019-04-23 10:35:00,44.71760227,-122.2448237,Log Bloom,0.012
2019-04-23 11:05:00,44.69537557,-122.2412653,Heater,0.0
2019-04-23 11:35:00,44.67544396,-122.1887626,Blowout,0.0
2019-04-30 10:25:00,44.71760227,-122.2448237,Log Bloom,0.076
2019-04-30 11:05:00,44.69537557,-122.2412653,Heater,0.071
2019-04-30 11:35:00,44.67544396,-122.1887626,Blowout,0.018
2019-05-07 10:15:00,44.71760227,-122.2448237,Log Bloom,0.005
2019-05-07 10:50:00,44.69537557,-122.2412653,Heater,0.009
2019-05-07 11:20:00,44.67544396,-122.1887626,Blowout,0.009
2019-05-14 09:55:00,44.71760227,-122.2448237,Log Bloom,0.046
2019-05-14 10:25:00,44.69537557,-122.2412653,Heater,0.046
2019-05-14 11:20:00,44.67544396,-122.1887626,Blowout,0.035
2019-05-21 09:55:00,44.71760227,-122.2448237,Log Bloom,0.062
2019-05-21 10:30:00,44.69537557,-122.2412653,Heater,0.058
2019-05-21 11:30:00,44.67544396,-122.1887626,Blowout,0.057
2019-05-28 09:30:00,44.71760227,-122.2448237,Log Bloom,0.107
2019-05-28 10:00:00,44.69537557,-122.2412653,Heater,0.066
2019-05-28 10:25:00,44.67544396,-122.1887626,Blowout,0.08
2019-05-30 09:30:00,44.69537557,-122.2412653,Heater,0.097
2019-05-30 09:45:00,44.67544396,-122.1887626,Blowout,0.206
2019-05-30 10:15:00,44.71760227,-122.2448237,Log Bloom,0.058
2019-06-03 09:00:00,44.71760227,-122.2448237,Log Bloom,0.011
2019-06-03 09:35:00,44.69537557,-122.2412653,Heater,0.094
2019-06-03 10:15:00,44.67544396,-122.1887626,Blowout,0.081
2019-06-04 09:30:00,44.71760227,-122.2448237,Log Bloom,0.152
2019-06-04 10:00:00,44.69537557,-122.2412653,Heater,0.181
2019-06-04 10:40:00,44.67544396,-122.1887626,Blowout,0.118
2019-06-05 10:55:00,44.71760227,-122.2448237,Log Bloom,0.158
2019-06-05 11:30:00,44.69537557,-122.2412653,Heater,0.185
2019-06-05 11:50:00,44.67544396,-122.1887626,Blowout,0.16
2019-06-06 09:40:00,44.71760227,-122.2448237,Log Bloom,0.046
2019-06-06 10:10:00,44.69537557,-122.2412653,Heater,0.302
2019-06-06 10:30:00,44.67544396,-122.1887626,Blowout,0.216
2019-06-07 09:15:00,44.71760227,-122.2448237,Log Bloom,0.119
2019-06-07 09:50:00,44.69537557,-122.2412653,Heater,0.342
2019-06-07 10:10:00,44.67544396,-122.1887626,Blowout,0.446
2019-06-10 10:05:00,44.71760227,-122.2448237,Log Bloom,1.11
2019-06-10 10:46:00,44.69537557,-122.2412653,Heater,4.558
2019-06-10 11:35:00,44.67544396,-122.1887626,Blowout,2.408
2019-06-11 09:40:00,44.71760227,-122.2448237,Log Bloom,0.667
2019-06-11 10:30:00,44.69537557,-122.2412653,Heater,3.585
2019-06-11 10:35:00,44.67544396,-122.1887626,Blowout,5.0
2019-06-12 10:10:00,44.71760227,-122.2448237,Log Bloom,0.758
2019-06-12 11:00:00,44.69537557,-122.2412653,Heater,5.0
2019-06-12 11:50:00,44.67544396,-122.1887626,Blowout,5.0
2019-06-13 09:40:00,44.71760227,-122.2448237,Log Bloom,0.285
2019-06-13 10:15:00,44.69537557,-122.2412653,Heater,1.138
2019-06-13 10:45:00,44.67544396,-122.1887626,Blowout,5.0
2019-06-14 00:00:00,44.69537557,-122.2412653,Heater,2.147
2019-06-14 00:00:00,44.67544396,-122.1887626,Blowout,1.251
2019-06-14 00:00:00,44.71760227,-122.2448237,Log Bloom,0.848
2019-06-17 00:00:00,44.67544396,-122.1887626,Blowout,1.553
2019-06-17 00:00:00,44.71760227,-122.2448237,Log Bloom,2.602
2019-06-17 00:00:00,44.69537557,-122.2412653,Heater,4.519
2019-06-18 00:00:00,44.69537557,-122.2412653,Heater,3.133
2019-06-18 00:00:00,44.71760227,-122.2448237,Log Bloom,3.531
2019-06-18 00:00:00,44.67544396,-122.1887626,Blowout,1.025
2019-06-19 00:00:00,44.67544396,-122.1887626,Blowout,0.615
2019-06-19 00:00:00,44.69537557,-122.2412653,Heater,3.4
2019-06-19 00:00:00,44.71760227,-122.2448237,Log Bloom,5.0
2019-06-20 00:00:00,44.67544396,-122.1887626,Blowout,1.086
2019-06-20 00:00:00,44.69537557,-122.2412653,Heater,2.088
2019-06-20 00:00:00,44.71760227,-122.2448237,Log Bloom,5.0
2019-06-21 00:00:00,44.71760227,-122.2448237,Log Bloom,5.0
2019-06-21 00:00:00,44.69537557,-122.2412653,Heater,3.147
2019-06-21 00:00:00,44.67544396,-122.1887626,Blowout,2.372
2019-06-24 00:00:00,44.71760227,-122.2448237,Log Bloom,4.086
2019-06-24 00:00:00,44.67544396,-122.1887626,Blowout,0.771
2019-06-24 00:00:00,44.69537557,-122.2412653,Heater,3.484
2019-06-25 00:00:00,44.71760227,-122.2448237,Log Bloom,4.712
2019-06-25 00:00:00,44.69537557,-122.2412653,Heater,3.493
2019-06-25 00:00:00,44.67544396,-122.1887626,Blowout,0.878
2019-06-26 00:00:00,44.67544396,-122.1887626,Blowout,0.877
2019-06-26 00:00:00,44.69537557,-122.2412653,Heater,4.47
2019-06-26 00:00:00,44.71760227,-122.2448237,Log Bloom,5.0
2019-07-08 00:00:00,44.67544396,-122.1887626,Blowout,0.49
2019-07-08 00:00:00,44.69537557,-122.2412653,Heater,4.045
2019-07-08 00:00:00,44.71760227,-122.2448237,Log Bloom,4.928
2019-07-09 00:00:00,44.67544396,-122.1887626,Blowout,0.425
2019-07-09 00:00:00,44.71760227,-122.2448237,Log Bloom,3.266
2019-07-09 00:00:00,44.69537557,-122.2412653,Heater,3.463
2019-07-10 00:00:00,44.67544396,-122.1887626,Blowout,0.657
2019-07-10 00:00:00,44.69537557,-122.2412653,Heater,5.0
2019-07-10 00:00:00,44.71760227,-122.2448237,Log Bloom,5.0
2019-07-11 00:00:00,44.67544396,-122.1887626,Blowout,0.347
2019-07-11 00:00:00,44.71760227,-122.2448237,Log Bloom,5.0
2019-07-11 00:00:00,44.67544396,-122.1887626,Blowout,0.381
2019-07-11 00:00:00,44.69537557,-122.2412653,Heater,2.587
2019-07-12 00:00:00,44.69537557,-122.2412653,Heater,2.691
2019-07-12 00:00:00,44.71760227,-122.2448237,Log Bloom,3.169
2019-07-12 00:00:00,44.67544396,-122.1887626,Blowout,0.359
2019-07-16 00:00:00,44.67544396,-122.1887626,Blowout,1.031
2019-07-16 00:00:00,44.71760227,-122.2448237,Log Bloom,3.478
2019-07-16 00:00:00,44.69537557,-122.2412653,Heater,3.504
2019-07-18 00:00:00,44.69537557,-122.2412653,Heater,3.132
2019-07-18 00:00:00,44.67544396,-122.1887626,Blowout,0.445
2019-07-18 00:00:00,44.71760227,-122.2448237,Log Bloom,5.0
2019-07-23 00:00:00,44.71760227,-122.2448237,Log Bloom,1.492
2019-07-23 00:00:00,44.69537557,-122.2412653,Heater,1.137
2019-07-23 00:00:00,44.67544396,-122.1887626,Blowout,0.24
2019-07-25 00:00:00,44.69537557,-122.2412653,Heater,4.535
2019-07-25 00:00:00,44.71760227,-122.2448237,Log Bloom,1.887
2019-07-25 00:00:00,44.67544396,-122.1887626,Blowout,0.228
2019-07-30 00:00:00,44.69537557,-122.2412653,Heater,0.78
2019-07-30 00:00:00,44.67544396,-122.1887626,Blowout,0.331
2019-07-30 00:00:00,44.71760227,-122.2448237,Log Bloom,1.414
2019-08-01 00:00:00,44.69537557,-122.2412653,Heater,0.0
2019-08-01 00:00:00,44.67544396,-122.1887626,Blowout,0.091
2019-08-01 00:00:00,44.71760227,-122.2448237,Log Bloom,0.837
2019-08-06 00:00:00,44.67544396,-122.1887626,Blowout,0.22
2019-08-06 00:00:00,44.71760227,-122.2448237,Log Bloom,1.603
2019-08-06 00:00:00,44.69537557,-122.2412653,Heater,0.738
2019-08-08 00:00:00,44.71760227,-122.2448237,Log Bloom,2.886
2019-08-08 00:00:00,44.69537557,-122.2412653,Heater,1.181
2019-08-08 00:00:00,44.67544396,-122.1887626,Blowout,0.259
2019-08-13 00:00:00,44.71760227,-122.2448237,Log Bloom,0.799
2019-08-13 00:00:00,44.69537557,-122.2412653,Heater,1.526
2019-08-13 00:00:00,44.67544396,-122.1887626,Blowout,0.437
2019-08-15 00:00:00,44.69537557,-122.2412653,Heater,0.46
2019-08-15 00:00:00,44.67544396,-122.1887626,Blowout,0.347
2019-08-15 00:00:00,44.71760227,-122.2448237,Log Bloom,0.824
2019-08-20 00:00:00,44.69537557,-122.2412653,Heater,0.819
2019-08-20 00:00:00,44.71760227,-122.2448237,Log Bloom,0.939
2019-08-20 00:00:00,44.67544396,-122.1887626,Blowout,0.387
2019-08-22 00:00:00,44.67544396,-122.1887626,Blowout,3.442
2019-08-22 00:00:00,44.69537557,-122.2412653,Heater,5.0
2019-08-22 00:00:00,44.71760227,-122.2448237,Log Bloom,0.918
2019-08-27 00:00:00,44.67544396,-122.1887626,Blowout,0.143
2019-08-27 00:00:00,44.69537557,-122.2412653,Heater,0.246
2019-08-29 00:00:00,44.67544396,-122.1887626,Blowout,0.134
2019-08-29 00:00:00,44.69537557,-122.2412653,Heater,0.163
2019-09-03 00:00:00,44.69537557,-122.2412653,Heater,0.161
2019-09-03 00:00:00,44.67544396,-122.1887626,Blowout,0.153
2019-09-10 00:00:00,44.69537557,-122.2412653,Heater,0.154
2019-09-24 00:00:00,44.69537557,-122.2412653,Heater,0.073
2019-09-24 00:00:00,44.67544396,-122.1887626,Blowout,0.091
2019-10-01 00:00:00,44.67544396,-122.1887626,Blowout,0.094
2019-10-01 00:00:00,44.69537557,-122.2412653,Heater,0.098
2019-10-09 00:00:00,44.67544396,-122.1887626,Blowout,0.076
2019-10-09 00:00:00,44.69537557,-122.2412653,Heater,0.058
2019-10-15 00:00:00,44.69537557,-122.2412653,Heater,0.073
2019-10-15 00:00:00,44.67544396,-122.1887626,Blowout,0.06
2019-10-30 00:00:00,44.67544396,-122.1887626,Blowout,0.049
2019-10-30 00:00:00,44.69537557,-122.2412653,Heater,0.038
